1751838939.311517,0
1751838939.417337,9
1751838939.520673,13
1751838939.624638,11
1751838939.728411,11
1751838939.833784,11
1751838939.938530,10
1751838940.042868,9
1751838940.147673,8
1751838940.254417,8
1751838940.358854,8
1751838940.463391,17
1751838940.567908,19
1751838940.672801,21
1751838940.778474,21
1751838940.887500,24
1751838940.994410,28
1751838941.099025,28
1751838941.209938,29
1751838941.315475,32
1751838941.420085,30
1751838941.524591,30
1751838941.631431,28
1751838941.737737,22
1751838941.841541,21
1751838941.946771,16
1751838942.050587,12
1751838942.154331,8
1751838942.258480,15
1751838942.363152,15
1751838942.467814,19
1751838942.572031,23
1751838942.676526,25
1751838942.787151,26
1751838942.892573,30
1751838942.996402,30
1751838943.102931,30
1751838943.208149,31
1751838943.316709,32
1751838943.421558,25
1751838943.526010,21
1751838943.630014,18
1751838943.734758,13
1751838943.840690,12
1751838943.945567,14
1751838944.050409,16
1751838944.156088,18
1751838944.260467,21
1751838944.369521,22
1751838944.474521,24
1751838944.579353,25
1751838944.683544,26
1751838944.787510,26
1751838944.892022,27
1751838944.996087,27
1751838945.100285,27
1751838945.204296,24
1751838945.309430,16
1751838945.413025,13
1751838945.518655,13
1751838945.628675,8
1751838945.733186,5
1751838945.843238,2
1751838945.948314,4
1751838946.053792,4
1751838946.169293,5
1751838946.274543,5
1751838946.379155,6
1751838946.483166,8
1751838946.588831,7
1751838946.696526,9
1751838946.801075,9
1751838946.910063,8
1751838947.014674,9
1751838947.118376,8
1751838947.222650,8
1751838947.326558,8
1751838947.432792,7
1751838947.536621,8
1751838947.642055,8
1751838947.746870,7
1751838947.852262,7
1751838947.956321,7
1751838948.060526,7
1751838948.165316,8
1751838948.270275,8
1751838948.375929,7
1751838948.485831,6
1751838948.592558,7
1751838948.698442,7
1751838948.801893,7
1751838948.907213,7
1751838949.012712,7
1751838949.120960,6
1751838949.225243,7
1751838949.332459,6
1751838949.437067,3
1751838949.541936,2
1751838949.647791,3
1751838949.752132,3
1751838949.857697,5
1751838949.962689,6
1751838950.068154,7
1751838950.179140,9
1751838950.285541,10
1751838950.392178,12
1751838950.498352,10
1751838950.602541,11
1751838950.706815,17
1751838950.811233,18
1751838950.915807,16
1751838951.023089,21
1751838951.127580,21
1751838951.232751,28
1751838951.337424,29
1751838951.444175,33
1751838951.551743,34
1751838951.657444,37
1751838951.764455,34
1751838951.869005,36
1751838951.973797,31
1751838952.078061,26
1751838952.182564,23
1751838952.286446,22
1751838952.389758,16
1751838952.494250,14
1751838952.600889,19
1751838952.711086,15
